gene,log2FoldChange
purH,-2.1893800628425324
gltV,2.8908726714775828
aceB,-1.397009509247699
aceA,-1.1432934630747085
aceK,-1.5330737823956966
metH,-2.725575398991439
pepE,-2.6432695069199834
psiE,1.7128794813507375
malE,-3.3580856814681113
malK,-2.3082923331212
yjbJ,2.4226022547341066
pspG,1.9078795315861328
tyrB,-1.7271607018904946
aphA,-1.5832009952638726
yjcB,3.2773550172159456
soxS,1.5769737672761537
ryjA,2.2544263188986626
gltP,-2.0186610193541745
phnL,1.6116411686658412
phnK,3.2318602949561965
phnJ,3.489466844504346
phnI,3.9091568498992864
phnH,3.266838333431061
phnG,2.918010821630978
phnF,3.7012726826869686
phnD,5.818991437683023
phnC,5.231520581783001
yjdN,2.8400776125573515
rdcA,-2.734606209286243
rdcB,-2.4552223262864734
proP,2.04467137673109
pmrR,1.6727291938194722
basS,2.188173048400317
basR,2.007716258674605
eptA,4.05005633383616
lysU,1.230423372865462
dcuA,-1.8736307900869316
aspA,-3.205419846331839
efp,-1.5162832032010012
ecnB,1.2422433107485764
frdD,-2.9947088509450244
frdC,-3.229882945579294
frdB,-3.3318122383905613
frdA,-3.308158055240265
glyV,4.10317129531194
glyX,4.10317129531194
glyY,4.10317129531194
hfq,-1.1970641258029615
hflK,-1.3137798800774554
hflC,-1.269285472471666
yjfY,2.0306901817004657
priB,-1.2304361555923984
rpsR,-1.3408770811142283
rplI,-1.1489696121732322
ytfK,2.214384863157224
nrdD,-2.82105920857591
treR,-1.4974790743458755
mgtL,6.651897270233235
mgtA,7.165403608601537
ridA,-2.2001107844140337
pyrI,-4.995623345955751
pyrB,-4.606512450223326
pyrL,-1.4545149692764319
tabA,-1.8530168100054825
valS,-1.619050225636085
ahr,1.7938802516667876
fecE,-2.7116900311212797
fecD,-3.6031363413520316
fecC,-3.5876144202942335
fecB,-3.928825009970874
fecA,-4.380641047578405
fecR,-3.294093224261162
fecI,-3.064540590663105
fimB,-1.4037861202218105
idlP,-2.0226979682509065
iadA,-2.0903202398003327
symR,2.9004736597071403
hsdS,-2.164460152524646
hsdM,-1.7405076904189143
hsdR,-1.9112989105923563
